Co Code,Bus Entity,Profit Centre,Project Code,Project,Project Region Old,SegForSegReprt_SEGMENT,Division,Post Code,City,District,Postal Area,Street,Project Type,CompanyGroup,Company Group_Old,Profit Center Name,Profit Center Long Name,Profit Center Short Name,Profit Center Source,Project Region,Region Code,Inventory Status,Company Group,Company,FLAG1,FLAG2,FLAG3
1000,WGORA1,THWGOSA01,Goa,Rio De Goa,West,R110,Affortable Homes,403803,Goa,South Goa,,Mormugao,Residential,TH,Tata Housing,Goa II  Sancoale Ph1,Goa II  Sancoale Ph1,GOA II  SANCOALE PH1,SAP,West,W,ONGOING,Tata Housing,Tata Housing Dev Co. Ltd,,X,
1000,WGORA1,THWGOSA02,Goa,Rio De Goa,West,R110,Affortable Homes,403803,Goa,South Goa,,Mormugao,Residential,TH,Tata Housing,Goa II  Sancoale Ph2,Goa II  Sancoale Ph2,GOA II  SANCOALE PH2,SAP,West,W,ONGOING,Tata Housing,Tata Housing Dev Co. Ltd,,X,
1000,WGORA1,THWGOSA03,Goa,Rio De Goa,West,R110,Affortable Homes,403803,Goa,South Goa,,Mormugao,Residential,TH,Tata Housing,Goa II  Sancoale Ph3,Goa II  Sancoale Ph3,GOA II  SANCOALE PH3,SAP,West,W,ONGOING,Tata Housing,Tata Housing Dev Co. Ltd,,X,
1000,WGORA1,THWGOSA04,Goa,Rio De Goa,West,R110,Affortable Homes,403803,Goa,South Goa,,Mormugao,Residential,TH,Tata Housing,Goa II  Sancoale Ph4,Goa II  Sancoale Ph4,GOA II  SANCOALE PH4,SAP,West,W,ONGOING,Tata Housing,Tata Housing Dev Co. Ltd,,X,
1010,IMLAA1,ARIMLAA01,Apex,"Nadhee, Odeon – 2",International,R110,Affortable Homes,20162,Male,Male,,"No.162, Majeedhee Magu",Residential,TH,Tata Housing,Maldives Arabiyya,Maldives Arabiyya,MALDIVES ARABIYYA,SAP,International,I,NOINVSTATUS,Tata Housing,APEX Realty Pvt. Ltd.,,,
1100,NGGSP1,LTNGGSP02,La Vida,La Vida,North,R120,Premium Homes,122017,Gurgaon,Gurgaon,,"Village Bajghera, Sector 113",Residential,TH,Tata Housing,LT-Sector113 Prem 2,Lemon Tree - Sector 113 - Premium Ph2,LT-SECTOR113 PREM 2,SAP,North,N,ONGOING,Tata Housing,Gatevida Developers P Ltd,,,
1050,WTHSL1,APWTHSL01,Thane,Serein,West,R130,Luxury Homes,400610,Thane,Thane,,"Pokhran Road No 2, Thane West",Residential,TH,Tata Housing,APPL-Serein Th Ph1,Ardent Properties - Serein Thane Ph1,APPL-SEREIN TH PH1,SAP,West,W,ONGOING,Tata Housing,Ardent Properties Pvt Ltd,,,
1000,NGGEW1,THNGGEW01,Gurgaon Pr,Primanti,North,R100,Value Homes,122001,Gurgaon,Gurgaon,,"Village Fazalpur, Jharsa",Residential,TH,Tata Housing,GG Primanti -EWS ph1,Gurgaon Primanti - EWS ph1,GG PRIMANTI -EWS PH1,SAP,North,N,COMPLETED,Tata Housing,Tata Housing Dev Co. Ltd,,X,
1000,NGGEW1,THNGGEW02,Gurgaon Pr,Primanti,North,R100,Value Homes,122001,Gurgaon,Gurgaon,,"Village Fazalpur, Jharsa",Residential,TH,Tata Housing,GG Primanti -EWS ph2,Gurgaon Primanti - EWS ph2,GG PRIMANTI -EWS PH2,SAP,North,N,COMPLETED,Tata Housing,Tata Housing Dev Co. Ltd,,X,
3000,SORPD1,TVSORCE01,Crescent,Crescent Enclave,South,R110,Affortable Homes,600034,Chennai,Nungambakkam,,"Walajabad Main Road,",Residential,TV,Tata Value Homes,Crescent Enclave-Ph1,"Crescent Enclave,Oragadam Affordable Ph1",CRESCENT ENCLAVE-PH1,SAP,South,S,COMPLETED,Tata Value Homes,Tata Value Homes Limited,,X,
1071,EALTL1,KOEALTL01,Alipore,88 East,East,R130,Luxury Homes,700027,Kolkata,Kolkata,,"34, DH Road, Near Majarhat bridge",Residential,TH,Tata Housing,Kolkata-One Alipore1,Kolkata-One Excelton -Alipore ph1,KOLKATA-ONE ALIPORE1,SAP,East,E,ONGOING,Tata Housing,Kolkata-One Excelton PLTD,,,
3060,NNDEA1,LKNSGEU01,LandKart,Eureka Park,North,R110,Affortable Homes,201310,Noida,Gautam Buddha Nagar,,"SC 02, A1, Sector-150",Residential,TV,Tata Value Homes,LK Eureka Park - Ph1,Lank Kart Eureka  Park - Ph1,LK EUREKA PARK - PH1,SAP,North,N,ONGOING,Tata Value Homes,Land KartBuilders Pvt Ltd,,,
3060,NNDEA1,LKNSGEU02,LandKart,Eureka Park,North,R110,Affortable Homes,201310,Noida,Gautam Buddha Nagar,,"SC 02, A1, Sector-150",Residential,TV,Tata Value Homes,LK Eureka Park - Ph2,Lank Kart Eureka  Park - Ph2,LK EUREKA PARK - PH2,SAP,North,N,ONGOING,Tata Value Homes,Land KartBuilders Pvt Ltd,,,
5100,SKOTR1,TRSKOKO07,TRITVAM,Tritvam,South,C120,Commercial,682018,Kochi,Ernakulam,,"GIDA Road, Marine Drive",Residential,TR,Tata Realty,RE NF N SEZ Common,RE NF N SEZ Common,RE NF N SEZ COMMON,SAP,South,S,ONGOING,Tata Realty,TATA Realty & Infra Ltd.,,,
1100,NGGSE1,GVNGGES01,La Vida,La Vida,North,E100,Education/School,122017,Gurgaon,Gurgaon,,"Village Bajgira , Sector 113",Residential,TH,Tata Housing,Gate Vida -Edu/S Ph1,Gate Vida - Education/ School Ph1,GATE VIDA -EDU/S PH1,SAP,North,N,ONGOING,Tata Housing,Gatevida Developers P Ltd,,,
1150,SOBLP8,OBSBGPD02,OBLP,SWARAM,South,R130,Luxury Homes,562157,Bangalore,Bangalore Rural,BANGALORE,"Shettigere,Doddajala",Residential,TH,Tata Housing,OBLP- Plotted Dev 02,OBLP- Plotted Development  Ph2,OBLP- PLOTTED DEV 02,SAP,South,S,NOINVSTATUS,Tata Housing,One Bangalore Lux Pro LLP,,,
